"","Dog breed","category","popularity ranking (1-173, 1 = most popular)","intelligence ranking","intelligence category","repetitions to understand new commands","obey first command (% of time)","life expectancy (years)","survey sample size","congenital ailments: summary / areas affected","No.","congenital ailments: detail","cuteness rating (adults)","total lifetime cost, $","average price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","grooming required","suitability for children","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link",""
"54","Clumber Spaniel","sporting","133.0","37.0","Above average","15-25",">70","10.0","301.0","none","0.0","none","2.0","14709.49834","1033.333333","mid-price","800.0","1500.0","5.75","4.0","7.5","7.14819875","3729.751403","9746.4136","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","31.7514659","70","46.99","18.5",NA,NA,NA,NA
"55","Cocker Spaniel","sporting","27.0","20.0","Excellent","5-15",">85",NA,"-","eye, skin problems","2.0","Retinal dysplasia, seborrhea","5.0",NA,"465","budget","250.0","800.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"36.83","14.5","American cocker spaniel",NA,NA,NA
"56","Collie","herding","36.0","16.0","Excellent","5-15",">85",NA,"-","eye, skin and muscle disorders","2.0","Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis","3.0",NA,"650","budget","350.0","950.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large","28.34952313","62.5","60.96","24",NA,NA,NA,NA
"57","Curly Coated Retriever","sporting","154.0","41.0","Average","25-40",">50","10.75","40.0","none","0.0","none","3.0",NA,NA,NA,NA,NA,"8.75","7.5","10.0","10.87769375","6101.386806","10477.39462","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large",NA,NA,"63.5","25",NA,NA,NA,NA
"58","Dachshund","hound","9.0","49.0","Average","25-40",">50","12.63","265.0","skin, spinal problems","2.0","acanthosis nigricans, Intervertebral disk disease","4.0","16209.21239","422.5","budget","125.0","750.0","4","4.0","4.0","4.97266","3276.992015","12309.72038","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","small","10.88621688","24",NA,NA,NA,NA,NA,NA
"59","Dalmatian","non-sporting","73.0","39.0","Above average","15-25",">70","11.27","404.0","deafness, urinary stones","2.0","Deafness, Urolithiasis (stones)","4.0","16082.63796","695","budget","350.0","1000.0","5.75","4.0","7.5","7.14819875","4203.429831","10984.20813","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium",NA,NA,"53.34","21",NA,NA,NA,NA
"60","Dandie Dinmont Terrier","terrier","160.0","62.0","Fair","40-80",">30","12.17","62.0","none","0.0","none","5.0","17525.49281","925","mid-price","850.0","1000.0","5.75","4.0","7.5","7.14819875","4539.107457","11861.38535","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","small","9.52543977","21","22.86","9","Only 2 for sale",NA,NA,NA
"61","Doberman Pinscher","working","13.0","5.0","Brightest","<5",">95","10.33","201.0","heart, spine, blood clotting disorders","4.0","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Intervertebral disk disease, von Willebrand's disease","2.0","14910.37845","789.5","mid-price","300.0","1200.0","5.75","4.0","7.5","7.14819875","3852.833199","10068.04525","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large",NA,NA,"66.04","26",NA,NA,NA,NA
"62","English Cocker Spaniel","sporting","63.0","18.0","Excellent","5-15",">85","11.66","1199.0","none","0.0","none","5.0","15389.63313","800","mid-price","600.0","1000.0","4","4.0","4.0","4.97266","3025.314877","11364.31826","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","13.6077711","30","40.64","16",NA,NA,NA,NA
"63","English Foxhound","hound","171.0","46.0","Average","25-40",">50",NA,"-","none","0.0","none","3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"60.96","24.0",NA,NA,NA,NA
"64","English Setter","sporting","87.0","37.0","Above average","15-25",">70","11.57","402.0","deafness, hip problems","2.0","deafness, hip dysplasia","3.0","16406.92291","615","budget","250.0","1000.0","5.75","4.0","7.5","7.14819875","4315.322373","11276.60054","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"62.23","24.5",NA,NA,NA,NA
"65","English Springer Spaniel","sporting","29.0","13.0","Excellent","5-15",">85","12.54","194.0","hip, eye, skin problems; enzyme deficiency","4.0","Hip dysplasia, Phosphofructokinase (PFK) deficiency, Retinal dysplasia, seborrhea","4.0","17714.11091","615","budget","450.0","1500.0","5.75","4.0","7.5","7.14819875","4677.108259","12222.00265","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","20.41165665","45","49.53","19.5",NA,NA,NA,NA
"66","English Toy Spaniel","toy","129.0","45.0","Average","25-40",">50","10.1","22.0","none","0.0","none","5.0",NA,"925","mid-price","150.0","1500.0",NA,NA,NA,NA,NA,"9843.877736","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","4.98951607","11",NA,NA,NA,NA,NA,NA
"67","Entlebucher Mountain Dog","herding","146.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"3.0",NA,"1166.666667","mid-price","1000.0","1300.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"46.99","18.5","3 dogs for sale only",NA,NA,NA
